sku,product_name,collection,family_id,product_type,domain,category,subcategory,raw_description,raw_catalogue_text,mrp,currency,tax_included,price_note,finish_code,finish_name,colour_name,colour_family,appearance_notes,dimension_raw,width_mm,depth_mm,height_mm,diameter_mm,length_mm,min_width_mm,max_width_mm,min_depth_mm,max_depth_mm,min_height_mm,max_height_mm,dimension_type,trap_type,rough_in_mm,toilet_configuration,flush_type,seat_included,bidet_function,smart_features,basin_type,faucet_hole_count,mounting_type,overflow,material,control_type,faucet_type,drain_included,hand_shower,diverter,spout_type,touchless,sensor_type,shower_type,function_count,outlet_count,power_kw,steam_type,bowl_count,bowl_configuration,tap_hole_count,included_accessories,bath_type,installation_type,shape,hydrotherapy_features,included_components,required_components,order_with_components,compatible_skus,compatibility_notes,is_configurable,configuration_type,configuration_options,orientation,site_dependent,configuration_notes,catalogue_id,catalogue_name,catalogue_year,catalogue_edition,source_page,source_type,extraction_confidence,review_required,review_reason,duplicate_status,duplicate_group,reconciliation_status
K-5402IN-ZZ-0,Veil® Smart,Veil® Smart,veil-smart-wall_hung_toilet,wall_hung_toilet,bathroom,toilets,wall_hung_toilet,Veil® Smart wall hung toilet with remote and Quiet-Close™ seat cover in white,,870000.0,INR,True,,,,white,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veil® wall hung intelligent toilet; Hydro-tower 500 in-wall tank with frame,K-1549469,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,6,catalogue,high,False,,unique,,clean
K-5401IN-0,Veil® Smart,Veil® Smart,veil-smart-one_piece_toilet,one_piece_toilet,bathroom,toilets,one_piece_toilet,Veil® smart one-piece toilet with remote and Quiet-Close™ seat cover in white,,850000.0,INR,True,,,,white,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K-1549469,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,6,catalogue,high,False,,unique,,clean
K-28529IN-0,Leap™,Leap™,,,bathroom,toilets,,Leap™ smart one-piece elongated toilet with remote and Quiet-Close™ seat cover in white,,470000.0,INR,True,,,,white,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,6,catalogue,high,False,,unique,,clean
K-38519IN-0/K-28362IN-2-0,with Veil®,with Veil®,with-veil-wall_hung_toilet,wall_hung_toilet,bathroom,toilets,wall_hung_toilet,Veil® wall hung toilet with PureWash™ E910 electronic bidet seat cover (,,196000.0,INR,True,,,,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K-1063956; K-1549469,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,6,catalogue,high,True,,valid_composite_printed_code,,review_required
K-26995IN-2-0/K-28820IN-0,with Brazn™,with Brazn™,with-brazn-wall_hung_toilet,wall_hung_toilet,bathroom,toilets,wall_hung_toilet,Brazn™ wall hung toilet with PureWash™ E910 electronic bidet seat cover (,,191000.0,INR,True,,,,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K-1063956; K-1549469,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,6,catalogue,high,True,,valid_composite_printed_code,,review_required
K-28786IN-0/K-4108IN-0,C3-230 with Veil®,C3-230 with Veil®,c3-230-with-veil-wall_hung_toilet,wall_hung_toilet,bathroom,toilets,wall_hung_toilet,Veil® wall hung toilet with C3-230 electronic bidet seat cover (,,161000.0,INR,True,,,,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K-1063956; K-1549469,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,6,catalogue,high,True,,valid_composite_printed_code,,review_required
K-27792IN-0/K-32387IN-0,PureWash™ E880,PureWash™ E880,purewash-e880-wall_hung_toilet,wall_hung_toilet,bathroom,toilets,wall_hung_toilet,with ModernLife ModernLife Edge™ wall hung toilet with PureWash™ E-880 electronic Edge™ bidet seat cover (,,121000.0,INR,True,,,,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K-1549469,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,6,catalogue,high,True,,valid_composite_printed_code,,review_required
K-31014IN-0/K-8297IN-0,C3-150 with Veil®,C3-150 with Veil®,c3-150-with-veil-wall_hung_toilet,wall_hung_toilet,bathroom,toilets,wall_hung_toilet,Veil® wall hung toilet with C3-150 electronic bidet seat cover (,,106000.0,INR,True,,,,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K-1063956; K-1549469,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,6,catalogue,high,True,,valid_composite_printed_code,,review_required
K-28362IN-2-0,PureWash™ E910 EB,PureWash™ E910 EB,purewash-e910-eb-bidet_seat,bidet_seat,bathroom,toilets,bidet_seat,"PureWash™ E910 (Elongated) electronic bidet seat cover with remote, in white (for Veil wall hung)",,165000.0,INR,True,,,,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K-1063956; K-1549469,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,7,catalogue,high,False,,unique,,clean
K-28820IN-0,PureWash™ E910,PureWash™ E910,purewash-e910-bidet_seat,bidet_seat,bathroom,toilets,bidet_seat,"Round PureWash™ E910 (Round) electronic bidet seat cover with remote, in white (for Brazn wall hung )",,165000.0,INR,True,,,,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K-1063956; K-1549469,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,7,catalogue,high,False,,unique,,clean
