source_sku,relationship_type,target_sku,requirement,evidence,source_page,confidence,review_required
K-5402IN-ZZ-0,included_component,K-76395IN-ZZ-0,included,Veil® wall hung intelligent toilet (K-76395IN-ZZ-0),6,high,true
K-5402IN-ZZ-0,included_component,K-18647IN-NA,included,Hydro-tower 500 in-wall tank with frame (K-18647IN-NA),6,high,true
K-5402IN-ZZ-0,requires,K-1549469,mandatory,External Pre-filter (K-1549469),6,high,true
K-5401IN-0,requires,K-1549469,mandatory,External Pre-filter (K-1549469),6,high,true
K-38519IN-0/K-28362IN-2-0,requires,K-1063956,mandatory,Electronic Bidet Installation Kit (K-1063956) & External Pre-Filter (K-1549469),6,high,false
K-38519IN-0/K-28362IN-2-0,requires,K-1549469,mandatory,Electronic Bidet Installation Kit (K-1063956) & External Pre-Filter (K-1549469),6,high,true
K-26995IN-2-0/K-28820IN-0,requires,K-1063956,mandatory,Electronic Bidet Installation Kit (K-1063956) & External Pre-Filter (K-1549469),6,high,false
K-26995IN-2-0/K-28820IN-0,requires,K-1549469,mandatory,Electronic Bidet Installation Kit (K-1063956) & External Pre-Filter (K-1549469),6,high,true
K-28786IN-0/K-4108IN-0,requires,K-1063956,mandatory,Electronic Bidet Installation Kit (K-1063956) & External Pre-Filter (K-1549469),6,high,false
K-28786IN-0/K-4108IN-0,requires,K-1549469,mandatory,Electronic Bidet Installation Kit (K-1063956) & External Pre-Filter (K-1549469),6,high,true
K-27792IN-0/K-32387IN-0,requires,K-1549469,mandatory,External Pre-filter (K-1549469),6,high,true
K-31014IN-0/K-8297IN-0,requires,K-1063956,mandatory,Electronic Bidet Installation Kit (K-1063956) & External Pre-Filter (K-1549469),6,high,false
K-31014IN-0/K-8297IN-0,requires,K-1549469,mandatory,Electronic Bidet Installation Kit (K-1063956) & External Pre-Filter (K-1549469),6,high,true
K-28362IN-2-0,requires,K-1063956,mandatory,Electronic Bidet Installation Kit (K-1063956) & External Pre-Filter (K-1549469),7,high,false
K-28362IN-2-0,requires,K-1549469,mandatory,Electronic Bidet Installation Kit (K-1063956) & External Pre-Filter (K-1549469),7,high,true
K-28820IN-0,requires,K-1063956,mandatory,Electronic Bidet Installation Kit (K-1063956) & External Pre-Filter (K-1549469),7,high,false
K-28820IN-0,requires,K-1549469,mandatory,Electronic Bidet Installation Kit (K-1063956) & External Pre-Filter (K-1549469),7,high,true
K-4108IN-0,requires,K-1063956,mandatory,Electronic Bidet Installation Kit (K-1063956) & External Pre-Filter (K-1549469),7,high,false
K-4108IN-0,requires,K-1549469,mandatory,Electronic Bidet Installation Kit (K-1063956) & External Pre-Filter (K-1549469),7,high,true
K-32387IN-0,requires,K-1063956,mandatory,Electronic Bidet Installation Kit (K-1063956) & External Pre-Filter (K-1549469),7,high,false
K-32387IN-0,requires,K-1549469,mandatory,Electronic Bidet Installation Kit (K-1063956) & External Pre-Filter (K-1549469),7,high,true
K-8297IN-0,requires,K-1063956,mandatory,Electronic Bidet Installation Kit (K-1063956) & External Pre-Filter (K-1549469),7,high,false
K-8297IN-0,requires,K-1549469,mandatory,Electronic Bidet Installation Kit (K-1063956) & External Pre-Filter (K-1549469),7,high,true
K-29958IN-0,included_component,K-4187IN-WD-0,included,Patio™ wall hung (K-4187IN-WD-0 | 10614IN-0),8,high,true
K-27791IN-WAF-0,included_component,K-27903IN-WAF-0,included,ModernLife Edge® decorative wall hung bowl only (K-27903IN-WAF-0),9,high,true
K-27791IN-WAF-0,included_component,K-27904IN-SS-0,included,ModernLife Edge® Quiet-Close™ UF seat (K-27904IN-SS-0),9,high,true
K-27791IN-WAF-0,requires,K-1527926,mandatory,Plastic outlet connector (K-1527926),9,high,false
K-27791IN-WRGD-0,included_component,K-27903IN-WRGD-0,included,ModernLife Edge® decorative wall hung bowl only (K-27903IN-WRGD-0),9,high,true
K-27791IN-WRGD-0,included_component,K-27904IN-SS-0,included,ModernLife Edge® Quiet-Close™ UF seat (K-27904IN-SS-0),9,high,true
K-27791IN-WRGD-0,requires,K-1527926,mandatory,Plastic outlet connector (K-1527926),9,high,false
K-27791IN-HL1,included_component,K-27903IN-2-HL1,included,ModernLife Edge® wall hung bowl w/o seat (K-27903IN-2-HL1),9,high,true
K-27791IN-HL1,included_component,K-27904IN-HL1,included,ModernLife Edge® Quiet-Close™ UF seat (K-27904IN-HL1),9,high,true
K-27791IN-HL1,requires,K-1527926,mandatory,Plastic outlet connector (K-1527926),9,high,false
K-27791IN-HB1,included_component,K-27903IN-2-HB1,included,ModernLife Edge® wall hung bowl w/o seat (K-27903IN-2-HB1),10,high,true
K-27791IN-HB1,included_component,K-27904IN-HB1,included,ModernLife Edge® Quiet-Close™ UF seat (K-27904IN-HB1),10,high,true
K-27791IN-HB1,requires,K-1527926,mandatory,Plastic outlet connector (K-1527926),10,high,false
K-27791IN-HP1,included_component,K-27903IN-2-HP1,included,ModernLife Edge® wall hung bowl w/o seat (K-27903IN-2-HP1),10,high,true
K-27791IN-HP1,included_component,K-27904IN-HP1,included,ModernLife Edge® Quiet-Close™ UF seat (K-27904IN-HP1),10,high,true
K-27791IN-HP1,requires,K-1527926,mandatory,Plastic outlet connector (K-1527926),10,high,false
K-27791IN-0,included_component,K-27903IN-2SS-0,included,ModernLife Edge® wall hung bowl w/o seat (K-27903IN-2SS-0),10,high,true
K-27791IN-0,included_component,K-27904IN-SS-0,included,ModernLife Edge® Quiet-Close™ UF seat (K-27904IN-SS-0),10,high,true
K-27791IN-0,requires,K-1527926,mandatory,Plastic outlet connector (K-1527926),10,high,false
K-75708IN-7,included_component,K-31539IN-7,included,Veil® wall hung rimless bowl in black (K-31539IN-7),10,high,true
K-75708IN-7,included_component,K-77471IN-7,included,Veil® wall hung Quiet-Close™ UF seat in black (K-77471IN-7),10,high,true
K-75708IN-7,requires,K-1527926,mandatory,Plastic outlet connector (K-1527926),10,high,false
K-75708IN-SS-0,included_component,K-31539IN-SS-0,included,Veil® wall hung bowl only in white (K-31539IN-SS-0),10,high,true
K-75708IN-SS-0,included_component,K-77070IN-SS-0,included,Veil® wall hung Quiet-Close™ UF seat in white (K-77070IN-SS-0),10,high,true
K-75708IN-SS-0,requires,K-1527926,mandatory,Plastic outlet connector (K-1527926),10,high,false
K-26994IN-HB1/K-26994IN-2-HB1,included_component,K-21748IN-HB1,included,Brazn® wall hung bowl w/o seat in honed black (K-21748IN-HB1/,10,high,true
K-26994IN-HB1/K-26994IN-2-HB1,included_component,K-21128IN-HB1,included,Brazn® Quiet-Close™ round UF seat in honed black (K-21128IN-HB1),10,high,true
K-26994IN-HB1/K-26994IN-2-HB1,requires,K-1527926,mandatory,Plastic outlet connector (K-1527926),10,high,false
K-26994IN-0/K-26994IN-2-0,included_component,K-21128IN-0,included,Brazn® Quiet-Close™ round UF seat in white (K-21128IN-0),10,high,true
K-26994IN-0/K-26994IN-2-0,included_component,K-21748IN-2-0,included,Brazn® wall hung toilet-round in white (K-21748IN-2-0/K-21748IN-0),10,high,true
K-26994IN-0/K-26994IN-2-0,included_component,K-21748IN-0,included,Brazn® wall hung toilet-round in white (K-21748IN-2-0/K-21748IN-0),10,high,true
K-26994IN-0/K-26994IN-2-0,requires,K-1527926,mandatory,Plastic outlet connector (K-1527926),10,high,false
K-26998IN-TKB,included_component,K-28780IN-TKB,included,Vive® wall hung bowl w/o seat in teakberry (K-28780IN-TKB),10,high,true
