look_id,look_name,collection_a,collection_b,relationship_type,source_page,evidence
look_001,Superior,Brazn™,Lynk™,collection_cooccurrence,13,"Both collections appear among products in the ""Superior"" look on page 13."
look_001,Superior,Brazn™,Parallel™,collection_cooccurrence,13,"Both collections appear among products in the ""Superior"" look on page 13."
look_001,Superior,Lynk™,Parallel™,collection_cooccurrence,13,"Both collections appear among products in the ""Superior"" look on page 13."
look_002,Superior,Anthem™,Complementary™,collection_cooccurrence,15,"Both collections appear among products in the ""Superior"" look on page 15."
look_002,Superior,Anthem™,Elate®,collection_cooccurrence,15,"Both collections appear among products in the ""Superior"" look on page 15."
look_002,Superior,Anthem™,ModernLife Edge™,collection_cooccurrence,15,"Both collections appear among products in the ""Superior"" look on page 15."
look_002,Superior,Anthem™,Veil IT Faceplate,collection_cooccurrence,15,"Both collections appear among products in the ""Superior"" look on page 15."
look_002,Superior,Anthem™,Veil®,collection_cooccurrence,15,"Both collections appear among products in the ""Superior"" look on page 15."
look_002,Superior,Complementary™,Elate®,collection_cooccurrence,15,"Both collections appear among products in the ""Superior"" look on page 15."
look_002,Superior,Complementary™,ModernLife Edge™,collection_cooccurrence,15,"Both collections appear among products in the ""Superior"" look on page 15."
look_002,Superior,Complementary™,Veil IT Faceplate,collection_cooccurrence,15,"Both collections appear among products in the ""Superior"" look on page 15."
look_002,Superior,Complementary™,Veil®,collection_cooccurrence,15,"Both collections appear among products in the ""Superior"" look on page 15."
look_002,Superior,Elate®,ModernLife Edge™,collection_cooccurrence,15,"Both collections appear among products in the ""Superior"" look on page 15."
look_002,Superior,Elate®,Veil IT Faceplate,collection_cooccurrence,15,"Both collections appear among products in the ""Superior"" look on page 15."
look_002,Superior,Elate®,Veil®,collection_cooccurrence,15,"Both collections appear among products in the ""Superior"" look on page 15."
look_002,Superior,ModernLife Edge™,Veil IT Faceplate,collection_cooccurrence,15,"Both collections appear among products in the ""Superior"" look on page 15."
look_002,Superior,ModernLife Edge™,Veil®,collection_cooccurrence,15,"Both collections appear among products in the ""Superior"" look on page 15."
look_002,Superior,Veil IT Faceplate,Veil®,collection_cooccurrence,15,"Both collections appear among products in the ""Superior"" look on page 15."
look_003,Superior,Anthem™,Complementary™,collection_cooccurrence,17,"Both collections appear among products in the ""Superior"" look on page 17."
look_003,Superior,Anthem™,Instaflush™,collection_cooccurrence,17,"Both collections appear among products in the ""Superior"" look on page 17."
look_003,Superior,Anthem™,Luxe,collection_cooccurrence,17,"Both collections appear among products in the ""Superior"" look on page 17."
look_003,Superior,Anthem™,Lynk™,collection_cooccurrence,17,"Both collections appear among products in the ""Superior"" look on page 17."
look_003,Superior,Anthem™,ModernLife Edge™,collection_cooccurrence,17,"Both collections appear among products in the ""Superior"" look on page 17."
look_003,Superior,Anthem™,Nysa,collection_cooccurrence,17,"Both collections appear among products in the ""Superior"" look on page 17."
