source_sku,target_sku,relationship_type,evidence,source_page,confidence,review_required,review_reason
K-28362IN-0,,compatible_with,"K-28362IN-0 - Purewash™ Electronic E910 bidet seat cover in white compatible with Veil® wall hung bowl @ ` 1,50,000.00",59,medium,true,"Target product stated only by collection name (""Veil® wall hung bowl""), not a specific SKU; no unambiguous SKU match could be made without guessing."
K-28362IN-0,,compatible_with,"K-28362IN-0 - Purewash™ Electronic E910 bidet seat cover in white compatible with Veil® wall hung bowl @ ` 1,50,000.00",61,medium,true,"Target product stated only by collection name (""Veil® wall hung bowl""), not a specific SKU; no unambiguous SKU match could be made without guessing."
K-18131IN-S-7,K-72757IN-0,compatible_with,*Compatible with K-72757IN-0 PureClean™ Bidet Seat - Oval (printed beneath Patio™ wall hung toilet K-18131IN-S-7),94,high,false,
K-5573IN-2-0,K-22860IN-0,compatible_with,"""Reach Eco wall hung bowl with K-22860IN-0 PureWash™ bidet attachment in white"" — listed under ""Compatible toilets*"" for the PureWash™ bidet attachment.",148,medium,true,"Source lists this as a combo code (""Above codes are combo codes of toilets with seat cover and PureWash™ bidet attachment"") rather than a plain compatibility pairing between two independently-sold SKUs; preserved as printed."
K-38791IN-0,K-22860IN-0,compatible_with,"""Patio™ wall hung toilet with seat cover and PureWash™ bidet attachment in white"" — listed under ""Compatible toilets*"" for the PureWash™ bidet attachment.",148,medium,true,"Source lists this as a combo code (""Above codes are combo codes of toilets with seat cover and PureWash™ bidet attachment"") rather than a plain compatibility pairing between two independently-sold SKUs; preserved as printed."
K-38782IN-0,K-22860IN-0,compatible_with,"""Brazn wall hung toilet with seat cover and PureWash™ bidet attachment in white"" — listed under ""Compatible toilets*"" for the PureWash™ bidet attachment.",148,medium,true,"Source lists this as a combo code (""Above codes are combo codes of toilets with seat cover and PureWash™ bidet attachment"") rather than a plain compatibility pairing between two independently-sold SKUs; preserved as printed."
K-38784IN-0,K-22860IN-0,compatible_with,"""Freelance™ wall hung toilet with seat cover and PureWash™ bidet attachment in white"" — listed under ""Compatible toilets*"" for the PureWash™ bidet attachment.",148,medium,true,"Source lists this as a combo code (""Above codes are combo codes of toilets with seat cover and PureWash™ bidet attachment"") rather than a plain compatibility pairing between two independently-sold SKUs; preserved as printed."
K-38785IN-0,K-22860IN-0,compatible_with,"""Trace™ wall hung toilet with seat cover and PureWash™ bidet attachment in white"" — listed under ""Compatible toilets*"" for the PureWash™ bidet attachment.",148,medium,true,"Source lists this as a combo code (""Above codes are combo codes of toilets with seat cover and PureWash™ bidet attachment"") rather than a plain compatibility pairing between two independently-sold SKUs; preserved as printed."
K-38786IN-0,K-22860IN-0,compatible_with,"""Vive wall hung toilet with seat cover and PureWash™ bidet attachment in white"" — listed under ""Compatible toilets*"" for the PureWash™ bidet attachment.",148,medium,true,"Source lists this as a combo code (""Above codes are combo codes of toilets with seat cover and PureWash™ bidet attachment"") rather than a plain compatibility pairing between two independently-sold SKUs; preserved as printed."
K-38787IN-0,K-22860IN-0,compatible_with,"""Veil® wall hung toilet with seat cover and PureWash™ bidet attachment in white"" — listed under ""Compatible toilets*"" for the PureWash™ bidet attachment.",148,medium,true,"Source lists this as a combo code (""Above codes are combo codes of toilets with seat cover and PureWash™ bidet attachment"") rather than a plain compatibility pairing between two independently-sold SKUs; preserved as printed."
K-38788IN-0,K-22860IN-0,compatible_with,"""Reach™ wall hung toilet with seat cover and PureWash™ bidet attachment in white"" — listed under ""Compatible toilets*"" for the PureWash™ bidet attachment.",148,medium,true,"Source lists this as a combo code (""Above codes are combo codes of toilets with seat cover and PureWash™ bidet attachment"") rather than a plain compatibility pairing between two independently-sold SKUs; preserved as printed."
