metric,value
total_pages_scanned,165
total_looks_found,37
total_product_occurrences,489
unique_skus,182
total_relationships,3048
total_finish_relationships,129
total_collection_relationships,1689
total_alternative_configurations,7
rows_with_missing_sku,1
rows_with_missing_price,5
rows_with_missing_source_page,0
rows_requiring_review,14
pages_scanned,165
pages_with_product_tables,37
pages_with_looks,37
pages_with_alternatives,7
pages_with_explicit_compatibility,4
project_reference_rows,14
total_explicit_compatibility_relationships,25
