project_name,location,project_type,products_or_collection_mentioned,source_page,source_document,extraction_confidence,review_required,review_reason
The Langham Haikou,"Haikou, China",,,21,Projectlookbook.pdf,high,false,
Meliá Koh Samui,Thailand,,,21,Projectlookbook.pdf,high,false,
The American Club,"Kohler, Wisconsin, USA",,,21,Projectlookbook.pdf,high,false,
W Brisbane,"Brisbane, Australia",,,21,Projectlookbook.pdf,high,false,
Privé at Island Estates Aventura,"Florida, USA",,,21,Projectlookbook.pdf,high,false,
InterContinental Maldives Maamunagau Resort,Maldives,,,21,Projectlookbook.pdf,high,false,
The Castle Hotel,"Dalian, China",,,21,Projectlookbook.pdf,high,false,
JW Marriott Marquis,"Shanghai, China",,,21,Projectlookbook.pdf,high,false,
Deep Group – Indraprastha             7 MLA Apartments,Jaipur,,,35,Projectlookbook.pdf,high,false,
Surya Signature,"Surat                9 New Parliament House, Delhi",,,35,Projectlookbook.pdf,high,false,
DLF Garden City,Gurugram             10 IIM Jammu,,,35,Projectlookbook.pdf,high,false,
Shalimar Group - Belvedere,Lucknow   11 Baroda Cricket Stadium,,,35,Projectlookbook.pdf,high,false,
Ashford Nahur,"Mumbai                 12 Pristine Allure, Pune",,,35,Projectlookbook.pdf,high,false,
Shourya Garh                   13 Marriott Hotel,,Hotel,,35,Projectlookbook.pdf,high,false,
